"id";"movement_speed";"displacement";"number_users";"is_hard_locked";"is_endpoint";"created_at";"active";"rack_id"
161;15.025;31.477;1;0;0;"2023-07-12 20:01:44.000000";1;1
162;14.995;16.482;1;0;0;"2023-07-12 20:01:45.000000";1;1
163;14.994;1.487;1;0;0;"2023-07-12 20:01:46.000000";1;1
164;3.332;0.0;1;0;1;"2023-07-12 20:01:47.000000";1;1
165;0.0;0.0;1;0;1;"2023-07-12 20:01:48.000000";1;1
166;3.336;3.336;1;0;0;"2023-07-12 20:09:46.000000";1;1
167;12.975;16.311;1;0;0;"2023-07-12 20:09:47.000000";1;1
168;15.034;31.345;1;0;0;"2023-07-12 20:09:48.000000";1;1
169;14.96;46.305;1;0;0;"2023-07-12 20:09:49.000000";1;1
170;14.982;61.287;1;0;0;"2023-07-12 20:09:50.000000";1;1
171;4.983;64.0;1;0;0;"2023-07-12 20:09:51.000000";1;1
172;4.995;59.005;1;0;0;"2023-07-12 20:09:52.000000";1;1
173;12.499;46.506;1;0;0;"2023-07-12 20:09:53.000000";1;1
174;15.0;31.506;1;0;0;"2023-07-12 20:09:54.000000";1;1
175;15.001;16.506;1;0;0;"2023-07-12 20:09:55.000000";1;1
176;15.0;1.506;1;0;0;"2023-07-12 20:09:56.000000";1;1
177;3.344;0.0;1;0;1;"2023-07-12 20:09:57.000000";1;1
178;0.0;0.0;1;0;1;"2023-07-12 20:09:58.000000";1;1
179;3.332;3.332;1;0;0;"2023-07-12 21:56:45.000000";1;1
180;13.001;16.333;1;0;0;"2023-07-12 21:56:46.000000";1;1
181;15.032;31.365;1;0;0;"2023-07-12 21:56:47.000000";1;1
182;15.04;46.405;1;0;0;"2023-07-12 21:56:48.000000";1;1
183;15.001;61.405;1;0;0;"2023-07-12 21:56:49.000000";1;1
184;4.948;64.0;1;0;1;"2023-07-12 21:56:50.000000";1;1
185;0.0;64.0;1;0;1;"2023-07-12 21:56:51.000000";1;1
186;0.0;0.0;1;0;1;"2023-07-21 21:39:00.000000";1;1
187;3.336;3.336;1;0;0;"2023-07-21 21:39:10.000000";1;1
188;12.959;16.295;1;0;0;"2023-07-21 21:39:11.000000";1;1
189;14.999;31.293;1;0;0;"2023-07-21 21:39:12.000000";1;1
190;14.981;46.274;1;0;0;"2023-07-21 21:39:13.000000";1;1
191;14.979;61.253;1;0;0;"2023-07-21 21:39:14.000000";1;1
192;4.979;64.0;1;0;1;"2023-07-21 21:39:15.000000";1;1
193;0.0;64.0;1;0;1;"2023-07-21 21:39:16.000000";1;1
194;5.001;58.999;1;0;0;"2023-07-21 21:39:22.000000";1;1
195;12.527;46.473;1;0;0;"2023-07-21 21:39:23.000000";1;1
196;14.983;31.49;1;0;0;"2023-07-21 21:39:24.000000";1;1
197;15.0;16.49;1;0;0;"2023-07-21 21:39:25.000000";1;1
198;15.0;1.49;1;0;0;"2023-07-21 21:39:26.000000";1;1
199;3.333;0.0;1;0;1;"2023-07-21 21:39:27.000000";1;1
200;0.0;0.0;1;0;1;"2023-07-21 21:39:28.000000";1;1
201;3.333;3.333;1;0;0;"2023-07-21 21:39:42.000000";1;1
202;12.995;16.329;1;0;0;"2023-07-21 21:39:43.000000";1;1
203;14.999;31.327;1;0;0;"2023-07-21 21:39:44.000000";1;1
204;15.003;46.33;1;0;0;"2023-07-21 21:39:45.000000";1;1
205;15.035;61.365;1;0;0;"2023-07-21 21:39:46.000000";1;1
206;5.0;64.0;1;0;0;"2023-07-21 21:39:47.000000";1;1
207;5.0;59.0;1;0;0;"2023-07-21 21:39:58.000000";1;1
208;12.501;46.5;1;0;0;"2023-07-21 21:39:59.000000";1;1
209;15.037;31.463;1;0;0;"2023-07-21 21:40:00.000000";1;1
210;15.011;16.452;1;0;0;"2023-07-21 21:40:01.000000";1;1
211;15.001;1.451;1;0;0;"2023-07-21 21:40:02.000000";1;1
212;3.343;0.0;1;0;1;"2023-07-21 21:40:03.000000";1;1
213;0.0;0.0;1;0;1;"2023-07-21 21:40:04.000000";1;1
214;3.274;3.274;1;0;0;"2023-07-21 19:29:28.000000";1;1
215;12.963;16.236;1;0;0;"2023-07-21 19:29:29.000000";1;1
216;14.948;31.184;1;0;0;"2023-07-21 19:29:30.000000";1;1
217;15.0;46.184;1;0;0;"2023-07-21 19:29:31.000000";1;1
218;15.0;61.183;1;0;0;"2023-07-21 19:29:32.000000";1;1
219;5.0;64.0;1;0;0;"2023-07-21 19:29:33.000000";1;1
220;5.0;59.0;1;0;0;"2023-07-21 19:29:34.000000";1;1
221;12.5;46.5;1;0;0;"2023-07-21 19:29:35.000000";1;1
222;14.999;31.501;1;0;0;"2023-07-21 19:29:36.000000";1;1
223;15.027;16.474;1;0;0;"2023-07-21 19:29:37.000000";1;1
224;14.995;1.479;1;0;0;"2023-07-21 19:29:38.000000";1;1
225;3.328;0.0;1;0;1;"2023-07-21 19:29:39.000000";1;1
226;0.0;0.0;1;0;1;"2023-07-21 19:29:40.000000";1;1
227;3.317;3.317;1;0;0;"2023-07-21 19:29:44.000000";1;1
228;13.027;16.344;1;0;0;"2023-07-21 19:29:45.000000";1;1
229;14.999;31.343;1;0;0;"2023-07-21 19:29:46.000000";1;1
230;14.999;46.342;1;0;0;"2023-07-21 19:29:56.000000";1;1
231;15.001;61.343;1;0;0;"2023-07-21 19:29:57.000000";1;1
232;5.011;64.0;1;0;0;"2023-07-21 19:30:04.000000";1;1
233;4.942;59.058;1;0;0;"2023-07-21 19:30:05.000000";1;1
234;12.502;46.555;1;0;0;"2023-07-21 19:30:06.000000";1;1
235;14.949;31.606;1;0;0;"2023-07-21 19:30:07.000000";1;1
236;15.01;16.596;1;0;0;"2023-07-21 19:30:08.000000";1;1
237;14.999;1.598;1;0;0;"2023-07-21 19:30:09.000000";1;1
238;3.363;0.0;1;0;1;"2023-07-21 19:30:10.000000";1;1
239;0.0;0.0;1;0;1;"2023-07-21 19:30:11.000000";1;1
240;3.372;3.372;1;0;0;"2023-07-21 19:30:24.000000";1;1
241;13.0;16.372;1;0;0;"2023-07-21 19:30:25.000000";1;1
242;15.04;31.412;1;0;0;"2023-07-21 19:30:26.000000";1;1
243;14.999;46.411;1;0;0;"2023-07-21 19:30:27.000000";1;1
244;15.0;61.41;1;0;0;"2023-07-21 19:30:28.000000";1;1
245;5.009;64.0;1;0;0;"2023-07-21 19:30:36.000000";1;1
246;4.999;59.001;1;0;0;"2023-07-21 19:30:37.000000";1;1
247;12.5;46.501;1;0;0;"2023-07-21 19:30:38.000000";1;1
248;14.995;31.507;1;0;0;"2023-07-21 19:30:39.000000";1;1
249;15.003;16.504;1;0;0;"2023-07-21 19:30:40.000000";1;1
250;15.003;1.502;1;0;0;"2023-07-21 19:30:41.000000";1;1
251;3.313;0.0;1;0;1;"2023-07-21 19:30:42.000000";1;1
252;0.0;0.0;1;0;1;"2023-07-21 19:30:43.000000";1;1
253;3.291;3.291;1;0;0;"2023-07-21 22:01:38.000000";1;121
254;12.995;16.286;1;0;0;"2023-07-21 22:01:39.000000";1;121
255;14.995;31.281;1;0;0;"2023-07-21 22:01:40.000000";1;121
256;14.982;46.263;1;0;0;"2023-07-21 22:01:41.000000";1;121
257;15.001;61.264;1;0;0;"2023-07-21 22:01:42.000000";1;121
258;5.002;64.0;1;0;0;"2023-07-21 22:01:43.000000";1;121
259;5.002;58.998;1;0;0;"2023-07-21 22:01:44.000000";1;121
260;12.5;46.498;1;0;0;"2023-07-21 22:01:45.000000";1;121
261;15.003;31.495;1;0;0;"2023-07-21 22:01:46.000000";1;121
262;15.0;16.496;1;0;0;"2023-07-21 22:01:47.000000";1;121
263;15.011;1.484;1;0;0;"2023-07-21 22:01:48.000000";1;121
264;3.369;0.0;1;0;1;"2023-07-21 22:01:49.000000";1;121
265;0.0;0.0;1;0;1;"2023-07-21 22:01:51.000000";1;121
266;3.334;3.334;1;0;0;"2023-07-21 22:02:11.000000";1;115
267;13.002;16.336;1;0;0;"2023-07-21 22:02:12.000000";1;115
268;14.999;31.335;1;0;0;"2023-07-21 22:02:13.000000";1;115
269;15.003;46.338;1;0;0;"2023-07-21 22:02:14.000000";1;115
270;15.001;61.338;1;0;0;"2023-07-21 22:02:15.000000";1;115
271;4.999;64.0;1;0;0;"2023-07-21 22:02:16.000000";1;115
272;4.995;59.005;1;0;0;"2023-07-21 22:02:17.000000";1;115
273;12.51;46.495;1;0;0;"2023-07-21 22:02:18.000000";1;115
274;15.0;31.495;1;0;0;"2023-07-21 22:02:19.000000";1;115
275;15.0;16.495;1;0;0;"2023-07-21 22:02:20.000000";1;115
276;15.025;1.47;1;0;0;"2023-07-21 22:02:21.000000";1;115
277;3.336;0.0;1;0;1;"2023-07-21 22:02:22.000000";1;115
278;0.0;0.0;1;0;1;"2023-07-21 22:02:23.000000";1;115
279;3.333;3.333;1;0;0;"2023-07-21 22:04:36.000000";1;91
280;13.018;16.352;1;0;0;"2023-07-21 22:04:37.000000";1;91
281;15.0;31.351;1;0;0;"2023-07-21 22:04:38.000000";1;91
282;15.029;46.38;1;0;0;"2023-07-21 22:04:39.000000";1;91
283;15.001;61.381;1;0;0;"2023-07-21 22:04:40.000000";1;91
284;5.0;64.0;1;0;0;"2023-07-21 22:04:50.000000";1;91
285;4.994;59.006;1;0;0;"2023-07-21 22:04:51.000000";1;91
286;12.5;46.505;1;0;0;"2023-07-21 22:04:52.000000";1;91
287;15.01;31.495;1;0;0;"2023-07-21 22:04:53.000000";1;91
288;14.981;16.514;1;0;0;"2023-07-21 22:04:54.000000";1;91
289;15.0;1.514;1;0;0;"2023-07-21 22:04:55.000000";1;91
290;3.342;0.0;1;0;1;"2023-07-21 22:04:56.000000";1;91
291;0.0;0.0;1;0;1;"2023-07-21 22:04:57.000000";1;91
292;3.336;3.336;1;0;0;"2023-07-22 18:22:13.000000";1;115
293;13.011;16.346;1;0;0;"2023-07-22 18:22:14.000000";1;115
294;14.999;31.345;1;0;0;"2023-07-22 18:22:15.000000";1;115
295;15.0;46.345;1;0;0;"2023-07-22 18:22:16.000000";1;115
296;14.952;61.297;1;0;0;"2023-07-22 18:22:17.000000";1;115
